scenario,source_node,hops,compromised_nodes,blast_radius
firewall_attack_1hop,firewall,1,"firewall,web_server",2
firewall_attack_2hop,firewall,2,"firewall,web_server,app_server",3
firewall_attack_3hop,firewall,3,"firewall,web_server,app_server,database,auth_server",5
web_server_attack_1hop,web_server,1,"firewall,web_server,app_server",3
web_server_attack_2hop,web_server,2,"firewall,web_server,app_server,database,auth_server",5
web_server_attack_3hop,web_server,3,"firewall,web_server,app_server,database,auth_server,employee_pc_1,employee_pc_2",7
app_server_attack_1hop,app_server,1,"web_server,app_server,database,auth_server",4
app_server_attack_2hop,app_server,2,"firewall,web_server,app_server,database,auth_server,employee_pc_1,employee_pc_2",7
app_server_attack_3hop,app_server,3,"firewall,web_server,app_server,database,auth_server,employee_pc_1,employee_pc_2",7
database_attack_1hop,database,1,"app_server,database",2
database_attack_2hop,database,2,"web_server,app_server,database,auth_server",4
database_attack_3hop,database,3,"firewall,web_server,app_server,database,auth_server,employee_pc_1,employee_pc_2",7
auth_server_attack_1hop,auth_server,1,"app_server,auth_server,employee_pc_1,employee_pc_2",4
auth_server_attack_2hop,auth_server,2,"web_server,app_server,database,auth_server,employee_pc_1,employee_pc_2",6
auth_server_attack_3hop,auth_server,3,"firewall,web_server,app_server,database,auth_server,employee_pc_1,employee_pc_2",7
employee_pc_1_attack_1hop,employee_pc_1,1,"auth_server,employee_pc_1",2
employee_pc_1_attack_2hop,employee_pc_1,2,"app_server,auth_server,employee_pc_1,employee_pc_2",4
employee_pc_1_attack_3hop,employee_pc_1,3,"web_server,app_server,database,auth_server,employee_pc_1,employee_pc_2",6
employee_pc_2_attack_1hop,employee_pc_2,1,"auth_server,employee_pc_2",2
employee_pc_2_attack_2hop,employee_pc_2,2,"app_server,auth_server,employee_pc_1,employee_pc_2",4
employee_pc_2_attack_3hop,employee_pc_2,3,"web_server,app_server,database,auth_server,employee_pc_1,employee_pc_2",6
