scenario,source_node,target_node,hops,criticality,compromised
web_attack,web_server,firewall,1,5,1
web_attack,web_server,web_server,1,4,1
web_attack,web_server,app_server,1,4,1
web_attack,web_server,database,1,5,0
web_attack,web_server,auth_server,1,5,0
web_attack,web_server,employee_pc_1,1,2,0
web_attack,web_server,employee_pc_2,1,2,0
web_attack,web_server,firewall,2,5,1
web_attack,web_server,web_server,2,4,1
web_attack,web_server,app_server,2,4,1
web_attack,web_server,database,2,5,1
web_attack,web_server,auth_server,2,5,1
web_attack,web_server,employee_pc_1,2,2,0
web_attack,web_server,employee_pc_2,2,2,0
endpoint_attack,employee_pc_1,firewall,1,5,0
endpoint_attack,employee_pc_1,web_server,1,4,0
endpoint_attack,employee_pc_1,app_server,1,4,0
endpoint_attack,employee_pc_1,database,1,5,0
endpoint_attack,employee_pc_1,auth_server,1,5,1
endpoint_attack,employee_pc_1,employee_pc_1,1,2,1
endpoint_attack,employee_pc_1,employee_pc_2,1,2,0
endpoint_attack,employee_pc_1,firewall,2,5,0
endpoint_attack,employee_pc_1,web_server,2,4,0
endpoint_attack,employee_pc_1,app_server,2,4,1
endpoint_attack,employee_pc_1,database,2,5,0
endpoint_attack,employee_pc_1,auth_server,2,5,1
endpoint_attack,employee_pc_1,employee_pc_1,2,2,1
endpoint_attack,employee_pc_1,employee_pc_2,2,2,1
application_attack,app_server,firewall,1,5,0
application_attack,app_server,web_server,1,4,1
application_attack,app_server,app_server,1,4,1
application_attack,app_server,database,1,5,1
application_attack,app_server,auth_server,1,5,1
application_attack,app_server,employee_pc_1,1,2,0
application_attack,app_server,employee_pc_2,1,2,0
application_attack,app_server,firewall,2,5,1
application_attack,app_server,web_server,2,4,1
application_attack,app_server,app_server,2,4,1
application_attack,app_server,database,2,5,1
application_attack,app_server,auth_server,2,5,1
application_attack,app_server,employee_pc_1,2,2,1
application_attack,app_server,employee_pc_2,2,2,1
authentication_attack,auth_server,firewall,1,5,0
authentication_attack,auth_server,web_server,1,4,0
authentication_attack,auth_server,app_server,1,4,1
authentication_attack,auth_server,database,1,5,0
authentication_attack,auth_server,auth_server,1,5,1
authentication_attack,auth_server,employee_pc_1,1,2,1
authentication_attack,auth_server,employee_pc_2,1,2,1
authentication_attack,auth_server,firewall,2,5,0
authentication_attack,auth_server,web_server,2,4,1
authentication_attack,auth_server,app_server,2,4,1
authentication_attack,auth_server,database,2,5,1
authentication_attack,auth_server,auth_server,2,5,1
authentication_attack,auth_server,employee_pc_1,2,2,1
authentication_attack,auth_server,employee_pc_2,2,2,1
